period,F[C-Slow] U[L-Slow],F[C-Medium] U[L-Slow],F[RC-Slow] U[L-Slow],F[RC-Medium] U[L-Slow],F[R-Slow] U[L-Slow],F[R-Medium] U[L-Slow],F[C-Slow] U[L-Medium],F[C-Medium] U[L-Medium],F[RC-Slow] U[L-Medium],F[RC-Medium] U[L-Medium],F[R-Slow] U[L-Medium],F[R-Medium] U[L-Medium],F[C-Slow] U[L-Fast],F[C-Medium] U[L-Fast],F[RC-Slow] U[L-Fast],F[RC-Medium] U[L-Fast],F[R-Slow] U[L-Fast],F[R-Medium] U[L-Fast],F[C-Slow] U[C-Slow],F[C-Medium] U[C-Slow],F[RC-Slow] U[C-Slow],F[RC-Medium] U[C-Slow],F[R-Slow] U[C-Slow],F[R-Medium] U[C-Slow],F[C-Slow] U[C-Medium],F[C-Medium] U[C-Medium],F[RC-Slow] U[C-Medium],F[RC-Medium] U[C-Medium],F[R-Slow] U[C-Medium],F[R-Medium] U[C-Medium],F[C-Slow] U[C-Fast],F[C-Medium] U[C-Fast],F[RC-Slow] U[C-Fast],F[RC-Medium] U[C-Fast],F[R-Slow] U[C-Fast],F[R-Medium] U[C-Fast],F[C-Slow] U[R-Slow],F[C-Medium] U[R-Slow],F[RC-Slow] U[R-Slow],F[RC-Medium] U[R-Slow],F[R-Slow] U[R-Slow],F[R-Medium] U[R-Slow],F[C-Slow] U[R-Medium],F[C-Medium] U[R-Medium],F[RC-Slow] U[R-Medium],F[RC-Medium] U[R-Medium],F[R-Slow] U[R-Medium],F[R-Medium] U[R-Medium],F[C-Slow] U[R-Fast],F[C-Medium] U[R-Fast],F[RC-Slow] U[R-Fast],F[RC-Medium] U[R-Fast],F[R-Slow] U[R-Fast],F[R-Medium] U[R-Fast]
1,0.512,0.474,0.274,0.279,0.109,0.091,0.482,0.515,0.27,0.281,0.087,0.084,0.506,0.514,0.285,0.261,0.105,0.105,0.542,0.52,0.518,0.51,0.497,0.486,0.493,0.487,0.471,0.518,0.529,0.525,0.486,0.497,0.517,0.489,0.492,0.479,0.513,0.496,0.72,0.721,0.898,0.902,0.496,0.503,0.727,0.735,0.912,0.891,0.509,0.478,0.71,0.723,0.913,0.904
2,0.514,0.621,0.321,0.473,0.168,0.339,0.517,0.576,0.382,0.469,0.354,0.443,0.488,0.543,0.513,0.513,0.652,0.543,0.527,0.538,0.493,0.521,0.515,0.52,0.497,0.507,0.536,0.52,0.588,0.569,0.496,0.479,0.588,0.569,0.75,0.7,0.505,0.63,0.732,0.773,0.886,0.906,0.507,0.58,0.672,0.734,0.905,0.916,0.511,0.557,0.65,0.71,0.897,0.9
3,0.531,0.688,0.377,0.562,0.196,0.516,0.514,0.609,0.441,0.515,0.52,0.499,0.497,0.565,0.564,0.505,0.79,0.581,0.486,0.521,0.501,0.52,0.53,0.518,0.505,0.498,0.558,0.547,0.659,0.614,0.508,0.538,0.629,0.608,0.848,0.723,0.538,0.664,0.694,0.814,0.901,0.903,0.539,0.589,0.693,0.742,0.923,0.905,0.538,0.568,0.654,0.729,0.912,0.898
4,0.567,0.72,0.381,0.658,0.273,0.574,0.507,0.638,0.534,0.538,0.572,0.504,0.5,0.607,0.584,0.554,0.824,0.602,0.499,0.506,0.496,0.506,0.528,0.531,0.5,0.547,0.546,0.561,0.736,0.634,0.495,0.549,0.605,0.643,0.85,0.743,0.542,0.717,0.735,0.82,0.897,0.898,0.507,0.617,0.668,0.792,0.913,0.907,0.496,0.584,0.64,0.742,0.917,0.924
5,0.546,0.749,0.444,0.688,0.335,0.589,0.505,0.646,0.538,0.556,0.622,0.504,0.489,0.616,0.607,0.589,0.816,0.658,0.47,0.519,0.516,0.523,0.563,0.509,0.482,0.559,0.581,0.586,0.752,0.638,0.492,0.589,0.639,0.67,0.863,0.775,0.556,0.766,0.75,0.825,0.899,0.884,0.536,0.647,0.65,0.781,0.919,0.919,0.554,0.609,0.644,0.763,0.912,0.924
6,0.571,0.784,0.452,0.692,0.371,0.665,0.505,0.651,0.542,0.598,0.657,0.565,0.511,0.638,0.62,0.616,0.829,0.684,0.513,0.506,0.511,0.52,0.593,0.513,0.523,0.588,0.57,0.619,0.765,0.649,0.513,0.624,0.638,0.681,0.875,0.797,0.56,0.798,0.741,0.844,0.902,0.887,0.499,0.654,0.708,0.797,0.915,0.906,0.518,0.661,0.643,0.771,0.904,0.925
7,0.568,0.777,0.462,0.711,0.39,0.681,0.553,0.667,0.567,0.602,0.678,0.56,0.513,0.708,0.625,0.621,0.825,0.681,0.512,0.496,0.549,0.489,0.573,0.516,0.518,0.608,0.584,0.617,0.781,0.687,0.509,0.623,0.629,0.68,0.874,0.803,0.567,0.785,0.741,0.867,0.891,0.89,0.495,0.652,0.667,0.81,0.908,0.926,0.528,0.677,0.622,0.808,0.917,0.919
8,0.571,0.787,0.468,0.743,0.386,0.695,0.515,0.69,0.552,0.603,0.672,0.609,0.503,0.701,0.601,0.645,0.802,0.704,0.504,0.514,0.517,0.501,0.594,0.518,0.491,0.63,0.604,0.628,0.82,0.693,0.524,0.682,0.622,0.711,0.867,0.808,0.573,0.801,0.752,0.86,0.917,0.904,0.549,0.677,0.659,0.791,0.902,0.923,0.534,0.691,0.656,0.797,0.904,0.938
9,0.603,0.778,0.493,0.713,0.438,0.714,0.526,0.665,0.542,0.59,0.678,0.624,0.509,0.724,0.601,0.693,0.801,0.706,0.493,0.514,0.518,0.54,0.588,0.513,0.52,0.653,0.559,0.649,0.814,0.719,0.503,0.684,0.635,0.73,0.865,0.817,0.589,0.797,0.751,0.874,0.909,0.905,0.509,0.686,0.7,0.82,0.896,0.921,0.509,0.711,0.644,0.816,0.904,0.939
10,0.59,0.784,0.488,0.717,0.448,0.718,0.529,0.719,0.553,0.636,0.707,0.608,0.508,0.788,0.576,0.713,0.813,0.737,0.523,0.508,0.534,0.517,0.593,0.524,0.493,0.653,0.609,0.668,0.795,0.718,0.503,0.713,0.641,0.763,0.852,0.851,0.572,0.815,0.739,0.848,0.884,0.907,0.516,0.724,0.69,0.835,0.905,0.93,0.522,0.739,0.622,0.814,0.891,0.951
